system:index,ET
2001_01_01,93.70814275023575
2001_01_09,52.92056341741221
2001_01_17,54.655713724284574
2001_01_25,55.14142038952633
2001_02_02,59.84996850389631
2001_02_10,56.05339186464974
2001_02_18,47.09940354597314
2001_02_26,91.23315522909311
2001_03_06,88.95511406569037
2001_03_14,71.71042192662128
2001_03_22,80.08077945216378
2001_03_30,77.49259538308003
2001_04_07,56.05950202296457
2001_04_15,74.50020456704821
2001_04_23,77.08517105979138
2001_05_01,74.49208264314132
2001_05_09,103.72827838792459
2001_05_17,102.31075976718206
2001_05_25,77.12022284226741
2001_06_02,70.92167675466109
2001_06_10,62.05258350352369
2001_06_18,28.310738080258126
2001_07_04,48.235085124771956
2001_07_12,46.49467931284923
2001_07_20,46.11638934212111
2001_07_28,46.1264232534217
2001_08_05,52.4565043392993
2001_08_13,44.05194665602351
2001_08_21,35.96690698536227
2001_08_29,56.074766530947684
2001_09_06,49.81800769965742
2001_09_14,55.38133987434215
2001_09_22,76.52059372896535
2001_09_30,66.75882228095936
2001_10_08,81.50282917517805
2001_10_16,75.93782813594188
2001_10_24,53.19272695596056
2001_11_01,59.27228814114736
2001_11_09,55.85994443706433
2001_11_17,56.67976202953531
2001_11_25,50.9812125162895
2001_12_03,51.98035056261644
2001_12_11,52.942573445368886
2001_12_19,50.06784241497069
2001_12_27,38.40752020636058
2002_01_01,51.352429146019816
2002_01_09,65.43959382792491
2002_01_17,53.71847210685765
2002_01_25,47.81961636354154
2002_02_02,56.745037583270815
2002_02_10,50.03471328076617
2002_02_18,47.73142570663067
2002_02_26,75.62022721724821
2002_03_06,67.4484777122266
2002_03_14,72.35158524765733
2002_03_22,53.60950514453699
2002_03_30,82.3559514805524
2002_04_07,95.44883819979306
2002_04_15,77.17498161966687
2002_04_23,90.01345553493549
2002_05_01,88.37740028326772
2002_05_09,110.31865805761372
2002_05_17,101.48644192714598
2002_05_25,90.66403720494385
2002_06_02,94.05143201459084
2002_06_10,72.51812609355814
2002_06_18,59.172898451952754
2002_06_26,73.91959273380213
2002_07_04,77.08294548908866
2002_07_12,60.70453785963814
2002_07_20,58.075410656669604
2002_07_28,56.971535580535026
2002_08_05,57.65851622149569
2002_08_13,54.7460893542672
2002_08_21,64.37800276209884
2002_08_29,58.55181428500131
2002_09_06,54.49698093005602
2002_09_14,79.84702262717636
2002_09_22,57.94554363081444
2002_09_30,72.72871048641979
2002_10_08,76.03583590982737
2002_10_16,81.22397271318776
2002_10_24,63.4091428712366
2002_11_01,59.823925453152945
2002_11_09,63.30672001489808
2002_11_17,62.44184092614247
2002_11_25,50.86126288170854
2002_12_03,58.27058116535675
2002_12_11,62.31208756504084
2002_12_19,53.586613799053815
2002_12_27,38.65651122372601
2003_01_01,57.53312487371471
2003_01_09,52.37958428397617
2003_01_17,53.3273689764282
2003_01_25,49.40398879904563
2003_02_02,61.94760511616353
2003_02_10,61.55506837135617
2003_02_18,75.877640151894
2003_02_26,73.92125007081746
2003_03_06,58.924532251158375
2003_03_14,64.49103019203616
2003_03_22,88.74493364078312
2003_03_30,80.84096880015178
2003_04_07,98.82474683454441
2003_04_15,105.33266337343737
2003_04_23,105.19869942010334
2003_05_01,118.3185289642925
2003_05_09,118.98272369773163
2003_05_17,113.29138119242145
2003_05_25,98.00880038980684
2003_06_02,105.96111965173598
2003_06_10,75.65027416288835
2003_06_18,73.8126687481295
2003_06_26,67.93212707597824
2003_07_04,64.11047465466575
2003_07_12,51.3350437652383
2003_07_20,39.94136287323894
2003_07_28,49.25009960931926
2003_08_05,45.53340721703629
2003_08_13,41.32967897701143
2003_08_21,56.41919376345001
2003_08_29,67.64087366098283
2003_09_06,57.71816268945886
2003_09_14,55.78923645052025
2003_09_22,59.11693017608496
2003_09_30,65.51112330786361
2003_10_08,69.64501668920607
2003_10_16,89.796934608545
2003_10_24,80.41416840664284
2003_11_01,66.57480204657753
2003_11_09,69.46752859477633
2003_11_17,67.3674564960017
2003_11_25,55.12295857170695
2003_12_03,55.71470299892535
2003_12_11,53.53938640639822
2003_12_19,51.914544729260214
2003_12_27,32.59546495234145
2004_01_01,51.38210005131439
2004_01_09,56.67403198103997
2004_01_17,48.712897836948535
2004_01_25,58.85230420328359
2004_02_02,59.06602612377259
2004_02_10,40.70160595286428
2004_02_18,67.96963620507519
2004_02_26,62.6087422924432
2004_03_05,80.44311189003456
2004_03_13,93.44038241803139
2004_03_21,76.41893873452656
2004_03_29,93.56151345141895
2004_04_06,79.75708056241179
2004_04_14,106.75387223146801
2004_04_22,95.00607460546938
2004_04_30,115.33024914914456
2004_05_08,114.02054266866297
2004_05_16,108.84715053414655
2004_05_24,129.8597269275502
2004_06_01,111.77713368693169
2004_06_09,104.64763649865371
2004_06_17,85.07282493512433
2004_06_25,72.9742292165147
2004_07_03,77.62394854407798
2004_07_11,84.10308250277141
2004_07_19,53.39565745954954
2004_07_27,60.4778307717963
2004_08_04,66.12062211481343
2004_08_12,59.44112920775867
2004_08_20,48.21612382550594
2004_08_28,73.79455059688672
2004_09_05,67.35275769133933
2004_09_13,59.89214626333754
2004_09_21,51.60086824086944
2004_09_29,49.37263159860003
