system:index,uncertainty
20020331_20020429,5.976851068997215
20020430_20020517,3.9011145056559733
20020731_20020830,3.127328281298145
20020831_20020929,3.91647563606315
20020930_20021030,2.4374541562332985
20021031_20021129,2.3243739946949797
20021130_20021230,2.5656567625343003
20021231_20030130,3.009235626631856
20030131_20030227,2.4910353797779514
20030228_20030330,2.1311019402857414
20030331_20030429,2.0401601648366836
20030430_20030520,2.0946353560667483
20030630_20030730,1.4031752931087178
20030731_20030830,1.4218758955734307
20030831_20030929,1.3963941928985326
20030930_20031030,1.3836553877001148
20031031_20031129,1.3731559273454672
20031130_20031230,1.3565808435818445
20031231_20040112,1.7052009368643664
20040203_20040228,1.4040323423180603
20040229_20040330,1.314860584024379
20040331_20040429,1.3465817436840621
20040430_20040530,1.4062725686888642
20040531_20040629,1.4281749094685956
20040630_20040730,1.3213865520254133
20040731_20040830,1.4044435345828372
20040831_20040929,1.49598607186474
20040930_20041030,1.3470853745495834
20041031_20041129,1.463387962426584
20041130_20041230,1.4322273623129667
20041231_20050130,1.3616317446204722
20050131_20050227,1.4543805426262828
20050228_20050330,1.4678217548311243
20050331_20050429,1.4644353828855028
20050430_20050530,1.5087137389177807
20050531_20050629,1.5459956540203474
20050630_20050730,1.4782827857944525
20050731_20050830,1.4505653698286618
20050831_20050929,1.4476596551772838
20050930_20051030,1.4230134593284949
20051031_20051129,1.4143663165094047
20051130_20051230,1.8444998078249737
20051231_20060130,1.514511516586763
20060131_20060227,1.5005255212939992
20060228_20060330,1.4164125003354016
20060331_20060429,1.4246048506806035
20060430_20060530,1.4239261606078533
20060531_20060629,1.5526741507081114
20060630_20060730,1.467587352938968
20060731_20060830,1.3782993530771857
20060831_20060929,1.4799421654275922
20060930_20061030,1.4329702701443097
20061031_20061129,1.4238331121834265
20061130_20061230,1.496026829698124
20061231_20070130,1.5283324103678597
20070131_20070227,1.4672319200044568
20070228_20070330,1.437443477091313
20070331_20070429,1.4563747195903507
20070430_20070530,1.4208501665186808
20070531_20070629,1.480256461943664
20070630_20070730,1.4203466225046182
20070731_20070830,1.588683848279732
20070831_20070929,1.4933888095713228
20070930_20071030,1.5382899088545041
20071031_20071129,1.5843452657331416
20071130_20071230,1.4473571537629222
20071231_20080130,1.423305811569628
20080131_20080228,1.5053870554057016
20080229_20080330,1.4054049301337213
20080331_20080429,1.5616426394766099
20080430_20080530,1.444028837390964
20080531_20080629,1.4365387262724436
20080630_20080730,1.4905206269049236
20080731_20080830,1.4542118165389426
20080831_20080929,1.4468594184863717
20080930_20081030,1.4035882865122105
20081031_20081129,1.4699917605147863
20081130_20081230,1.4531155039848695
20081231_20090130,1.4434527477797765
20090131_20090227,1.5123714487500484
20090228_20090330,1.5326176180106055
20090331_20090429,1.4352701046828198
20090430_20090530,1.4876753502324729
20090531_20090629,1.5251167469363907
20090630_20090730,1.6788204650129968
20090731_20090830,1.6049006237352392
20090831_20090929,1.5130555323162154
20090930_20091030,1.597710999864715
20091031_20091129,1.5867836089508776
20091130_20091230,1.5889318844187057
20091231_20100130,1.584935952692422
20100131_20100227,1.5900623415905428
20100228_20100330,1.7939510301353367
20100331_20100429,1.5934516067381297
20100430_20100530,1.6455293566122995
20100531_20100629,1.9935738132959173
20100630_20100730,1.617879829524436
20100731_20100830,1.392239065738361
20100831_20100929,1.4291408541776918
20100930_20101030,1.4854322548728214
20101031_20101129,1.5449095100185943
20101130_20101230,1.6431517891620888
20110207_20110227,1.8531244084080694
20110228_20110330,1.62108206436979
20110331_20110429,1.5639267272845876
20110430_20110530,1.5646439911849073
20110706_20110730,1.7155213775140474
20110731_20110830,1.569464988035459
20110831_20110929,1.471769270106305
20110930_20111030,1.40435511137249
20111016_20111115,1.4670253509406983
20111218_20120114,1.479226747337921
20111231_20120130,1.4038636069385397
20120131_20120228,1.5548826173950634
20120229_20120330,1.4805217278955138
20120331_20120418,1.8578015772454417
20120531_20120629,1.5718560025801034
20120630_20120730,1.4506163665618126
20120731_20120830,1.4076309793924484
20120831_20120923,1.577842720620326
20121108_20121129,1.6874495854080345
20121130_20121230,1.5239360763672627
20121231_20130130,1.485188407015759
20130131_20130225,1.6302380735049669
20130411_20130429,1.6954897164931912
20130430_20130530,1.4291993568855106
20130531_20130629,1.5350247550518958
20130630_20130730,1.5420578114340309
20130930_20131030,1.662168472885505
20131031_20131129,1.6434246065454838
20131130_20131230,1.6285957486485436
20131231_20140116,2.088832596663676
20140302_20140330,1.4275809412902913
20140331_20140429,1.4648304228888607
20140430_20140530,1.4759255380058605
20140531_20140623,1.6771181391540502
20140731_20140830,1.5402915455399795
20140831_20140929,1.4583693641725828
20140930_20141030,1.4423842612711706
20141031_20141201,1.4748900252953114
20150112_20150130,1.6462059746438027
20150131_20150227,1.9568224453881935
20150228_20150330,1.1434082527272535
20150331_20150429,1.2719954688826498
20150411_20150510,1.3604193866152925
20150628_20150730,1.476777457778559
20150731_20150830,1.3992901655760268
20150831_20150926,1.522991009364452
20151210_20160102,1.5239241796595715
20160103_20160127,1.3812955170901409
20160128_20160228,1.2629589452142571
20160229_20160330,1.4312954408166183
20160508_20160530,1.7125337473795683
20160531_20160629,1.785744809073968
20160630_20160728,1.9481961778079755
20160807_20160902,2.671129366530572
20161113_20161209,3.59302020436543
20161210_20170105,3.98714925414178
20170106_20170202,4.381528110033555
20170316_20170413,4.825673643560985
20170409_20170507,6.016785242231065
20170501_20170521,6.589266663297036
20170522_20170628,6.634579920766981
