Date	Volume (m3)	Qout (m3/d)	Qin (m3/d)	Qin (mm/d)
2000-01-01	62671000.0	993600.0	0.0	0.0
2000-01-02	63059000.0	993600.0	1405958.0971099436	0.08269099845663558
2000-01-03	63405000.0	993600.0	1355785.4646889698	0.07974011031948816
2000-01-04	63708000.0	993600.0	1321527.1824234165	0.07772521985314283
2000-01-05	63971000.0	963360.0	1251425.1605147868	0.07360219072633647
2000-01-06	64191000.0	950400.0	1195861.0501020215	0.0703342044486295
2000-01-07	64278000.00000001	950400.0	1062755.9239371754	0.0625056668806234
2000-01-08	64453999.99999999	950400.0	1146097.2558332924	0.06740736200323191
2000-01-09	64584999.99999999	950400.0	1105053.4756520996	0.06499338453790486
2000-01-10	64717000.0	950400.0	1025704.7628274728	0.060326514093327066
2000-01-11	64980000.00000001	950400.0	1211493.6333537176	0.07125363008456874
2000-01-12	65155000.0	907200.0	1107928.539944386	0.06516248057102625
2000-01-13	65331000.0	907200.0	1108782.5914489105	0.06521271135086791
2000-01-14	65506000.0	907200.0	976120.8185471944	0.057410249470375235
2000-01-15	65769000.00000001	907200.0	1186540.8528189831	0.06978603987620625
2000-01-16	66032000.0	907200.0	1137499.9816847658	0.06690171593539501
2000-01-17	66251000.00000001	907200.0	1151995.878873376	0.06775428772577403
2000-01-18	66513999.99999999	825984.0	1118109.4707309268	0.06576126892303154
2000-01-19	66909000.00000001	677376.0	1101451.9756765477	0.06478156341070902
2000-01-20	67084000.0	871171.2000000001	1046181.1079438878	0.061530824112167266
2000-01-21	67303000.0	864000.0	1111916.7545465205	0.06539704620152957
2000-01-22	67435000.0	864000.0	1024893.5111789033	0.06027880057401401
2000-01-23	67566000.0	864000.0	1022935.1374669932	0.06016361941895544
2000-01-24	67742000.0	864000.0	1068326.9671536982	0.06283332609533704
2000-01-25	67830000.0	864000.0	959729.049109912	0.056446172529514706
2000-01-26	67961000.0	864000.0	1000464.4909626222	0.058842015169702166
2000-01-27	68093000.0	864000.0	1012736.7165842188	0.059563802392252355
2000-01-28	68181000.0	864000.0	981351.8617151448	0.057717911685498675
2000-01-29	68312000.0	864000.0	1028400.0408113934	0.06048503604932755
2000-01-30	68444000.0	864000.0	1031105.8120233938	0.06064417516135048
2000-01-31	68752000.0	684288.0	1027225.4216422439	0.060415951179655446
2000-02-01	69103000.0	648000.0	1024921.3590365835	0.06028043843730537
2000-02-02	69410000.0	648000.0	994915.180047974	0.05851563413372263
2000-02-03	69718000.0	648000.0	996904.6437265351	0.05863264383572697
2000-02-04	69674000.0	1026432.0000000001	1020444.8917843105	0.06001715637547879
2000-02-05	69674000.0	1022112.0	1060380.6655176803	0.0623659667781066
2000-02-06	70069000.0	907200.0	1341619.8044156656	0.07890696131298158
2000-02-07	70464000.0	907200.0	1343548.192479927	0.0790203788712811
2000-02-08	70728000.0	907200.0	1213562.6685957424	0.07137531976391032
2000-02-09	71035000.0	907200.0	1258180.924000498	0.07399952890385304
2000-02-10	71255000.0	907200.0	1168945.6900095567	0.06875118571966395
2000-02-11	71650000.0	907200.0	1341148.8836773671	0.07887926425278906
2000-02-12	71958000.0	907200.0	1244791.6542768828	0.07321204307171707
2000-02-13	72221000.0	907200.0	1208691.9354040176	0.07108884907060335
2000-02-14	72488000.0	907200.0	1212176.6879630932	0.07129380373395827
2000-02-15	72669000.0	907200.0	1134426.5510903671	0.06672095304846375
2000-02-16	72896000.0	941760.0	1217176.7072479613	0.07158787834956601
2000-02-17	72941000.0	950400.0	1044486.3906126469	0.06143114982705868
2000-02-18	72987000.0	950400.0	1045503.8654348813	0.06149099229969566
2000-02-19	73032000.0	950400.0	1047343.1313034147	0.061599168163122074
2000-02-20	73078000.0	950400.0	1044065.5424805358	0.06140639777199074
2000-02-21	73078000.0	950400.0	992759.3425222816	0.058388839204431185
2000-02-22	73032000.0	1036800.0	1029328.135670349	0.06053962166657124
2000-02-23	72987000.0	1108512.0	1106831.9395425618	0.06509798435145812
2000-02-24	72851000.0	1209600.0	1118876.947133243	0.06580640781453186
2000-02-25	72578000.0	1209600.0	986019.6228124201	0.05799244463671831
2000-02-26	72265000.0	1209600.0	941301.3160772622	0.05536235100816606
2000-02-27	71958000.0	1209600.0	951436.8361047469	0.055958468540169864
2000-02-28	71694000.0	1209600.0	993348.0602764627	0.05842346446033494
2000-02-29	71299000.0	1278720.0	933041.8169054308	0.05487657107299273
2000-03-01	70904000.0	1332288.0	996256.3486800641	0.05859451455947231
2000-03-02	70464000.0	1339200.0	955186.3363392651	0.056178994257645394
2000-03-03	70025000.0	1339200.0	956526.8258422613	0.05625783474062369
2000-03-04	69630000.0	1339200.0	1001105.8760860935	0.05887973804093431
2000-03-05	69191000.0	1339200.0	950747.1970373765	0.05591790762788323
2000-03-06	68752000.0	1339200.0	954037.5056748936	0.05611142613104919
2000-03-07	68312000.0	1339200.0	954501.1310938746	0.05613869411925184
2000-03-08	67742000.0	1420416.0	907954.7215521187	0.053401081179370403
2000-03-09	67260000.0	1465344.0	1045376.9143851995	0.06148352571226686
2000-03-10	66690000.0	1576800.0	1071131.8654038012	0.0629982953339986
2000-03-11	66120000.00000001	1594944.0	1089170.8378101364	0.06405925201718693
2000-03-12	65593999.99999999	1558656.0	1093351.5067580417	0.06430513679158353
2000-03-13	65111000.00000001	1555200.0	1116877.3601998724	0.06568880271637058
2000-03-14	64584999.99999999	1520640.0000000002	1024723.8998891267	0.06026882493752102
2000-03-15	64102999.99999999	1512000.0	1095558.7500939146	0.0644349551379875
2000-03-16	63578000.0	1512000.0	1034304.5809753314	0.06083230978571199
2000-03-17	63059000.0	1512000.0	1058416.6350932792	0.06225045292522095
2000-03-18	62627000.0	1429056.0	1062932.8639387563	0.06251607355307523
2000-03-19	62109000.0	1425600.0	942265.951988427	0.055419085776297
2000-03-20	61634000.0	1425600.0	916588.7593379244	0.053908889489367826
2000-03-21	61332000.0	1301184.0	1001610.5575734898	0.05890942072933105
2000-03-22	61159000.0	1094688.0	836865.1250844467	0.049219968154825246
2000-03-23	61159000.0	957312.0	957420.5730758496	0.056310400212713635
2000-03-24	61289000.0	950400.0	1137520.1545287478	0.06690290239508681
2000-03-25	61677000.0	864000.0	1316288.795958273	0.07741712574422532
2000-03-26	62066000.0	823651.2	1277450.6254808872	0.07513287054372847
2000-03-27	62455000.0	827712.0	1275993.3183413818	0.07504715946693932
2000-03-28	62843000.0	864000.0	1292499.6239836328	0.07601797281990756
2000-03-29	63448000.0	889920.0000000001	1556988.9051877707	0.09157382956187257
2000-03-30	64059000.0	990144.0000000001	1647600.0735084524	0.09690309790575945
2000-03-31	64673000.0	993600.0	1672413.9418200299	0.09836251803390808
2000-04-01	65242999.99999999	993600.0	1635689.8784752314	0.09620260340230675
2000-04-02	65857000.0	993600.0	1627294.9917764943	0.09570886069085906
2000-04-03	66427000.00000001	993600.0	1627745.0953477835	0.09573533339569665
2000-04-04	66997000.0	993600.0	1616197.8605342896	0.09505618628732705
2000-04-05	67435000.0	1134432.0	1638635.9416003972	0.09637587521021981
2000-04-06	67742000.0	1191456.0	1569153.1425609663	0.09228926548839181
2000-04-07	68137000.0	1166400.0	1618676.631441946	0.09520197444539572
2000-04-08	68268000.0	1166400.0	1218559.4670638442	0.07166920494815818
2000-04-09	68224000.0	1166400.0	1123309.380754456	0.06606710005172177
2000-04-10	68224000.0	1166400.0	1232780.1614596741	0.07250559076986585
2000-04-11	68224000.0	1086912.0	1143565.8534482243	0.06725847834080478
2000-04-12	68137000.0	1194912.0	1189603.2977490574	0.06996615664462692
2000-04-13	68049000.0	1209600.0	1204813.230627589	0.07086072422723805
2000-04-14	67873000.0	1296000.0	1186770.1363909873	0.06979952511985449
2000-04-15	67786000.0	1296000.0	1266388.6195904925	0.0744822620270947
2000-04-16	67830000.0	1296000.0	1309658.6475870572	0.07702717558151531
2000-04-17	67873000.0	1296000.0	1412847.0611935207	0.08309617078685926
