Date;Catchment 1;Catchment 2
;Q [mm/d];Q [mm/d]
27/10/2001;0,81;0,19
28/10/2001;0,77;0,12
29/10/2001;0,60;0,15
30/10/2001;8,05;0,20
31/10/2001;15,64;0,20
01/11/2001;22,18;0,13
02/11/2001;16,73;0,09
03/11/2001;10,20;0,09
04/11/2001;8,19;0,09
05/11/2001;5,58;0,09
06/11/2001;4,88;0,09
07/11/2001;42,52;0,09
08/11/2001;20,81;0,05
09/11/2001;9,07;0,09
10/11/2001;5,07;0,09
11/11/2001;29,15;0,07
12/11/2001;18,73;0,07
13/11/2001;29,10;0,07
14/11/2001;7,28;0,07
15/11/2001;12,63;0,05
16/11/2001;3,61;0,03
17/11/2001;2,33;0,03
18/11/2001;1,79;0,03
19/11/2001;4,34;0,03
20/11/2001;2,22;0,03
21/11/2001;22,43;0,02
22/11/2001;29,96;0,01
23/11/2001;15,37;0,01
24/11/2001;19,06;0,01
25/11/2001;30,60;0,01
26/11/2001;14,56;0,02
27/11/2001;9,10;0,04
28/11/2001;14,41;0,03
29/11/2001;6,26;0,02
30/11/2001;7,01;0,18
01/12/2001;3,77;0,45
02/12/2001;2,38;1,32
03/12/2001;1,80;0,92
04/12/2001;1,43;0,83
05/12/2001;1,13;0,76
06/12/2001;0,91;0,35
07/12/2001;0,77;0,08
08/12/2001;0,68;0,08
09/12/2001;0,61;0,08
10/12/2001;0,52;0,08
11/12/2001;0,48;0,07
12/12/2001;0,45;0,10
13/12/2001;1,87;0,11
14/12/2001;8,61;0,11
15/12/2001;11,51;0,09
16/12/2001;2,48;0,08
17/12/2001;2,70;0,08
18/12/2001;13,23;0,08
19/12/2001;18,96;0,05
20/12/2001;6,41;0,03
21/12/2001;3,32;0,03
22/12/2001;27,08;0,03
23/12/2001;24,29;0,03
24/12/2001;11,21;0,04
25/12/2001;4,87;0,04
26/12/2001;19,00;0,07
27/12/2001;4,18;0,07
28/12/2001;3,95;0,07
29/12/2001;7,59;0,29
30/12/2001;3,66;2,30
31/12/2001;2,13;0,81
01/01/2002;5,53;0,72
02/01/2002;27,72;0,70
03/01/2002;62,71;0,44
04/01/2002;10,70;0,23
05/01/2002;5,70;0,23
06/01/2002;7,99;0,21
07/01/2002;41,83;0,20
08/01/2002;12,52;0,20
09/01/2002;6,61;0,20
10/01/2002;2,84;0,16
11/01/2002;4,11;0,20
12/01/2002;3,99;0,23
13/01/2002;2,33;0,24
14/01/2002;2,36;0,27
15/01/2002;2,09;0,25
16/01/2002;1,80;0,53
17/01/2002;2,19;0,35
18/01/2002;2,27;0,24
19/01/2002;5,59;0,33
20/01/2002;3,08;0,36
21/01/2002;2,19;0,26
22/01/2002;1,56;0,25
23/01/2002;1,12;0,28
24/01/2002;0,89;0,26
25/01/2002;6,15;0,23
26/01/2002;5,53;0,37
27/01/2002;2,10;0,42
28/01/2002;1,49;0,86
29/01/2002;1,44;0,47
30/01/2002;1,13;0,46
31/01/2002;0,93;0,43
01/02/2002;1,01;0,46
02/02/2002;1,42;0,51
03/02/2002;9,55;0,46
04/02/2002;7,19;0,74
05/02/2002;23,13;1,13
06/02/2002;6,22;1,77
07/02/2002;3,87;0,81
08/02/2002;30,58;0,72
09/02/2002;13,12;0,81
10/02/2002;11,12;0,84
11/02/2002;5,49;0,84
12/02/2002;4,39;0,84
13/02/2002;12,27;0,84
14/02/2002;13,85;0,84
15/02/2002;8,96;0,89
16/02/2002;8,74;0,95
17/02/2002;4,02;0,95
18/02/2002;2,96;0,95
19/02/2002;2,47;0,95
20/02/2002;2,02;0,95
21/02/2002;7,58;1,77
22/02/2002;16,73;1,35
23/02/2002;22,88;1,35
24/02/2002;16,48;1,29
25/02/2002;7,83;1,25
26/02/2002;8,53;1,25
27/02/2002;14,64;1,15
28/02/2002;11,88;1,12
01/03/2002;3,23;1,24
02/03/2002;22,67;1,25
03/03/2002;9,74;1,16
04/03/2002;18,10;1,12
05/03/2002;8,22;1,11
06/03/2002;23,40;1,12
07/03/2002;13,74;1,04
08/03/2002;33,16;0,91
09/03/2002;11,21;1,03
10/03/2002;6,30;1,10
11/03/2002;16,98;1,09
12/03/2002;7,48;1,08
13/03/2002;26,53;1,09
14/03/2002;9,03;1,13
15/03/2002;4,00;1,32
16/03/2002;2,88;1,28
17/03/2002;2,93;1,20
18/03/2002;12,19;1,18
19/03/2002;19,52;2,34
20/03/2002;22,03;2,08
21/03/2002;19,97;1,38
22/03/2002;9,77;1,18
23/03/2002;10,99;1,18
24/03/2002;9,44;1,16
25/03/2002;5,49;1,16
26/03/2002;3,10;1,13
27/03/2002;10,70;1,02
28/03/2002;8,20;0,94
29/03/2002;3,64;0,83
30/03/2002;5,70;0,77
31/03/2002;6,88;0,77
01/04/2002;2,87;0,76
02/04/2002;2,50;0,75
03/04/2002;1,78;0,74
04/04/2002;1,38;0,64
05/04/2002;1,21;0,54
06/04/2002;2,76;0,52
07/04/2002;4,94;0,51
08/04/2002;3,43;0,49
09/04/2002;1,77;0,53
10/04/2002;1,21;0,60
11/04/2002;1,19;0,57
12/04/2002;3,78;0,54
13/04/2002;11,19;0,54
14/04/2002;6,08;0,54
15/04/2002;2,65;0,53
16/04/2002;1,95;0,49
17/04/2002;1,38;0,46
18/04/2002;1,42;0,46
19/04/2002;26,36;0,36
20/04/2002;5,45;0,35
21/04/2002;2,41;0,34
22/04/2002;4,41;0,34
23/04/2002;6,42;0,33
24/04/2002;2,61;0,26
25/04/2002;11,18;0,22
26/04/2002;14,24;0,03
27/04/2002;9,24;0,00
28/04/2002;18,52;0,00
29/04/2002;8,19;0,01
30/04/2002;5,45;0,03
01/05/2002;19,38;0,64
02/05/2002;16,18;0,76
03/05/2002;8,30;0,57
04/05/2002;4,30;0,39
05/05/2002;20,97;0,38
06/05/2002;16,86;0,38
07/05/2002;34,12;0,37
08/05/2002;26,53;0,34
09/05/2002;9,81;0,22
10/05/2002;7,39;0,24
11/05/2002;4,29;0,22
12/05/2002;4,00;0,17
13/05/2002;12,33;0,23
14/05/2002;5,74;0,35
15/05/2002;3,99;0,31
16/05/2002;1,87;0,23
17/05/2002;1,53;0,21
18/05/2002;1,24;0,49
19/05/2002;0,86;0,29
20/05/2002;0,63;0,23
21/05/2002;0,52;0,02
22/05/2002;0,50;0,00
23/05/2002;0,50;0,00
24/05/2002;0,40;0,00
25/05/2002;0,32;0,00
26/05/2002;0,23;0,00
27/05/2002;0,17;0,00
28/05/2002;0,15;0,00
29/05/2002;0,10;0,00
30/05/2002;0,09;0,13
31/05/2002;0,09;0,21
01/06/2002;0,08;0,18
02/06/2002;0,08;0,18
03/06/2002;0,47;0,20
04/06/2002;0,47;0,19
05/06/2002;0,45;0,26
06/06/2002;0,21;0,00
07/06/2002;0,12;0,00
08/06/2002;0,10;0,98
09/06/2002;0,08;0,63
10/06/2002;0,05;0,72
11/06/2002;0,05;0,50
12/06/2002;0,05;0,66
13/06/2002;0,04;0,68
14/06/2002;0,03;0,52
15/06/2002;0,48;0,52
16/06/2002;2,05;0,52
17/06/2002;0,91;0,52
18/06/2002;0,42;0,52
19/06/2002;0,25;0,47
20/06/2002;0,14;0,46
21/06/2002;0,10;0,46
22/06/2002;0,08;0,43
23/06/2002;0,08;0,39
24/06/2002;0,08;0,39
25/06/2002;0,12;0,38
26/06/2002;1,19;0,37
27/06/2002;1,83;0,36
28/06/2002;4,34;0,34
29/06/2002;2,34;0,24
30/06/2002;0,98;0,00
01/07/2002;0,61;0,00
02/07/2002;0,50;0,00
03/07/2002;0,40;0,00
04/07/2002;0,25;0,00
05/07/2002;0,51;0,00
06/07/2002;0,36;0,00
07/07/2002;0,21;0,00
08/07/2002;0,19;0,00
09/07/2002;0,19;0,00
10/07/2002;0,37;0,01
11/07/2002;0,32;0,19
12/07/2002;1,16;0,31
13/07/2002;3,24;0,30
14/07/2002;3,32;0,29
15/07/2002;3,18;0,27
16/07/2002;1,70;0,33
17/07/2002;1,13;0,46
18/07/2002;2,68;0,31
19/07/2002;9,48;0,24
20/07/2002;5,94;0,25
21/07/2002;2,32;0,21
22/07/2002;1,54;0,19
23/07/2002;1,06;0,18
24/07/2002;1,53;0,22
25/07/2002;11,10;0,18
26/07/2002;3,63;0,17
27/07/2002;3,03;0,16
28/07/2002;15,92;0,15
29/07/2002;7,85;0,15
30/07/2002;3,37;0,14
31/07/2002;2,11;0,14
01/08/2002;1,92;0,14
02/08/2002;2,73;5,58
03/08/2002;7,34;5,13
04/08/2002;15,21;3,16
05/08/2002;19,18;0,00
06/08/2002;8,45;0,00
07/08/2002;5,40;0,00
08/08/2002;3,11;0,00
09/08/2002;1,78;0,00
10/08/2002;1,24;0,00
11/08/2002;1,73;0,00
12/08/2002;1,32;0,00
13/08/2002;5,03;0,00
14/08/2002;25,37;0,00
15/08/2002;4,88;0,00
16/08/2002;2,68;0,00
17/08/2002;12,24;0,00
18/08/2002;9,85;0,00
19/08/2002;9,35;0,00
20/08/2002;4,59;0,00
21/08/2002;6,18;0,00
22/08/2002;8,08;0,00
23/08/2002;3,22;0,10
24/08/2002;18,09;0,30
25/08/2002;10,01;0,25
26/08/2002;10,41;0,21
27/08/2002;6,15;0,22
28/08/2002;6,94;0,20
29/08/2002;11,88;0,19
30/08/2002;8,24;0,19
31/08/2002;10,82;0,17
01/09/2002;42,20;0,17
02/09/2002;30,85;0,16
03/09/2002;29,53;0,17
04/09/2002;28,20;0,16
05/09/2002;26,88;0,13
06/09/2002;25,56;0,11
07/09/2002;24,23;0,11
08/09/2002;22,91;0,13
09/09/2002;21,58;0,12
10/09/2002;20,26;0,12
11/09/2002;18,94;0,09
12/09/2002;17,61;0,08
13/09/2002;16,29;0,07
14/09/2002;14,96;0,08
15/09/2002;13,64;0,08
16/09/2002;12,31;0,20
17/09/2002;9,55;0,15
18/09/2002;3,60;0,10
19/09/2002;2,49;0,06
20/09/2002;2,03;0,05
21/09/2002;2,08;0,09
22/09/2002;4,43;0,12
23/09/2002;2,69;0,11
24/09/2002;1,83;0,09
25/09/2002;1,44;0,11
26/09/2002;1,21;0,13
27/09/2002;1,09;0,11
28/09/2002;1,88;0,11
29/09/2002;3,32;0,11
30/09/2002;2,03;0,11
01/10/2002;7,51;0,12
02/10/2002;12,26;0,19
03/10/2002;4,32;0,07
04/10/2002;10,24;0,04
05/10/2002;5,51;0,04
06/10/2002;2,84;0,04
07/10/2002;1,99;0,04
08/10/2002;1,63;0,04
09/10/2002;1,35;0,06
10/10/2002;2,29;0,37
11/10/2002;1,74;0,15
12/10/2002;1,28;0,11
13/10/2002;1,07;0,09
14/10/2002;1,12;0,41
15/10/2002;2,60;0,23
16/10/2002;8,09;0,33
17/10/2002;3,24;0,23
18/10/2002;1,90;0,15
19/10/2002;1,65;0,15
20/10/2002;1,39;0,15
21/10/2002;1,18;0,15
