;Catchment 1;;;Catchment 2;;;Catchment 3;;
Date;P;EP;Q;P;EP;Q;P;ETP;Q
;[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d]
02/10/2001;2,5;1,1;0,1;1,75;1,54;0,1;1,25;2,09;0,1
03/10/2001;0;1,4;0,29;0;1,96;0,29;0;2,66;0,29
04/10/2001;0,5;0,9;0,08;0,35;1,26;0,08;0,25;1,71;0,08
05/10/2001;3,5;0,7;0,06;2,45;0,98;0,06;1,75;1,33;0,06
06/10/2001;7;1,4;0,06;4,9;1,96;0,06;3,5;2,66;0,06
07/10/2001;15,5;0,7;0,1;10,85;0,98;0,1;7,75;1,33;0,1
08/10/2001;1,5;1,4;0,46;1,05;1,96;0,46;0,75;2,66;0,46
09/10/2001;0,5;1,1;0,21;0,35;1,54;0,21;0,25;2,09;0,21
10/10/2001;0;1,1;0,13;0;1,54;0,13;0;2,09;0,13
11/10/2001;0;1;0,07;0;1,4;0,07;0;1,9;0,07
12/10/2001;0;1,3;0,06;0;1,82;0,06;0;2,47;0,06
13/10/2001;0;1;0,05;0;1,4;0,05;0;1,9;0,05
14/10/2001;6;0,9;0,06;4,2;1,26;0,06;3;1,71;0,06
15/10/2001;0,5;1;0,07;0,35;1,4;0,07;0,25;1,9;0,07
16/10/2001;0;0,2;0,06;0;0,28;0,06;0;0,38;0,06
17/10/2001;1,5;0,9;0,04;1,05;1,26;0,04;0,75;1,71;0,04
18/10/2001;1,5;1;0,03;1,05;1,4;0,03;0,75;1,9;0,03
19/10/2001;1;1;0,03;0,7;1,4;0,03;0,5;1,9;0,03
20/10/2001;0;0,8;0,04;0;1,12;0,04;0;1,52;0,04
21/10/2001;4,5;0,6;0,04;3,15;0,84;0,04;2,25;1,14;0,04
22/10/2001;13;0;0,04;9,1;0;0,04;6,5;0;0,04
23/10/2001;1;0,9;0,35;0,7;1,26;0,35;0,5;1,71;0,35
24/10/2001;3,5;0,5;0,26;2,45;0,7;0,26;1,75;0,95;0,26
25/10/2001;0;0,6;0,1;0;0,84;0,1;0;1,14;0,1
26/10/2001;4,5;0,5;0,11;3,15;0,7;0,11;2,25;0,95;0,11
27/10/2001;0;0,4;0,11;0;0,56;0,11;0;0,76;0,11
28/10/2001;0;0,8;0,07;0;1,12;0,07;0;1,52;0,07
29/10/2001;0;0,3;0,09;0;0,42;0,09;0;0,57;0,09
30/10/2001;0;0,7;0,12;0;0,98;0,12;0;1,33;0,12
31/10/2001;0;0,8;0,12;0;1,12;0,12;0;1,52;0,12
01/11/2001;0;0,3;0,08;0;0,42;0,08;0;0,57;0,08
02/11/2001;0;0,3;0,06;0;0,42;0,06;0;0,57;0,06
03/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
04/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
05/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
06/11/2001;3;0;0,05;2,1;0;0,05;1,5;0;0,05
07/11/2001;2;0,6;0,05;1,4;0,84;0,05;1;1,14;0,05
08/11/2001;8,5;0,6;0,03;5,95;0,84;0,03;4,25;1,14;0,03
09/11/2001;0,5;0,5;0,05;0,35;0,7;0,05;0,25;0,95;0,05
10/11/2001;0;0,1;0,05;0;0,14;0,05;0;0,19;0,05
11/11/2001;0;0,1;0,04;0;0,14;0,04;0;0,19;0,04
12/11/2001;1;0,5;0,04;0,7;0,7;0,04;0,5;0,95;0,04
13/11/2001;0;0,9;0,04;0;1,26;0,04;0;1,71;0,04
14/11/2001;1,5;0,1;0,04;1,05;0,14;0,04;0,75;0,19;0,04
15/11/2001;0;0,2;0,03;0;0,28;0,03;0;0,38;0,03
16/11/2001;0;0,7;0,02;0;0,98;0,02;0;1,33;0,02
17/11/2001;0;0,2;0,02;0;0,28;0,02;0;0,38;0,02
18/11/2001;0;0;0,02;0;0;0,02;0;0;0,02
19/11/2001;0;0,4;0,02;0;0,56;0,02;0;0,76;0,02
20/11/2001;0;0;0,02;0;0;0,02;0;0;0,02
21/11/2001;0;0;0,01;0;0;0,01;0;0;0,01
22/11/2001;1,5;0;0,01;1,05;0;0,01;0,75;0;0,01
23/11/2001;0,5;0,2;0;0,35;0,28;0;0,25;0,38;0
24/11/2001;3;0,2;0;2,1;0,28;0;1,5;0,38;0
