Date;Catchment 1;Catchment 2
;Q [mm/d];Q [mm/d]
01/10/2001;0,11;0,54
02/10/2001;0,17;1,19
03/10/2001;0,48;0,48
04/10/2001;0,13;0,45
05/10/2001;0,09;0,44
06/10/2001;0,09;0,61
07/10/2001;0,17;1,22
08/10/2001;0,76;0,48
09/10/2001;0,34;0,47
10/10/2001;0,21;0,45
11/10/2001;0,12;0,44
12/10/2001;0,09;0,44
13/10/2001;0,09;0,44
14/10/2001;0,10;0,46
15/10/2001;0,11;0,46
16/10/2001;0,10;0,41
17/10/2001;0,07;0,37
18/10/2001;0,04;0,37
19/10/2001;0,05;0,37
20/10/2001;0,07;0,37
21/10/2001;0,06;0,38
22/10/2001;0,06;1,12
23/10/2001;0,58;0,43
24/10/2001;0,44;0,42
25/10/2001;0,17;0,39
26/10/2001;0,18;0,38
27/10/2001;0,19;0,39
28/10/2001;0,12;0,38
29/10/2001;0,15;0,37
30/10/2001;0,20;0,37
31/10/2001;0,20;0,35
01/11/2001;0,13;0,34
02/11/2001;0,09;0,33
03/11/2001;0,09;0,33
04/11/2001;0,09;0,33
05/11/2001;0,09;0,33
06/11/2001;0,09;0,32
07/11/2001;0,09;0,32
08/11/2001;0,05;1,12
09/11/2001;0,09;1,33
10/11/2001;0,09;0,33
11/11/2001;0,07;0,33
12/11/2001;0,07;0,33
13/11/2001;0,07;0,33
14/11/2001;0,07;0,32
15/11/2001;0,05;0,32
16/11/2001;0,03;0,31
17/11/2001;0,03;0,31
18/11/2001;0,03;0,31
19/11/2001;0,03;0,31
20/11/2001;0,03;0,31
21/11/2001;0,02;0,31
22/11/2001;0,01;0,32
23/11/2001;0,01;0,33
24/11/2001;0,01;0,32
25/11/2001;0,01;0,33
26/11/2001;0,02;0,44
27/11/2001;0,04;0,34
28/11/2001;0,03;0,32
29/11/2001;0,02;0,38
30/11/2001;0,18;0,62
01/12/2001;0,45;0,66
02/12/2001;1,32;0,45
03/12/2001;0,92;0,44
04/12/2001;0,83;0,42
05/12/2001;0,76;0,40
06/12/2001;0,35;0,37
07/12/2001;0,08;0,37
08/12/2001;0,08;0,37
09/12/2001;0,08;0,37
10/12/2001;0,08;0,37
11/12/2001;0,07;0,36
12/12/2001;0,10;0,35
13/12/2001;0,11;0,35
14/12/2001;0,11;0,35
15/12/2001;0,09;0,35
16/12/2001;0,08;0,35
17/12/2001;0,08;0,35
18/12/2001;0,08;0,34
19/12/2001;0,05;0,33
20/12/2001;0,03;0,33
21/12/2001;0,03;0,33
22/12/2001;0,03;0,33
23/12/2001;0,03;0,33
24/12/2001;0,04;0,33
25/12/2001;0,04;0,35
26/12/2001;0,07;0,35
27/12/2001;0,07;0,35
28/12/2001;0,07;0,38
29/12/2001;0,29;1,65
30/12/2001;2,30;0,71
31/12/2001;0,81;0,74
01/01/2002;0,72;0,74
02/01/2002;0,70;0,59
03/01/2002;0,44;0,49
04/01/2002;0,23;0,47
05/01/2002;0,23;0,44
06/01/2002;0,21;0,44
07/01/2002;0,20;0,44
08/01/2002;0,20;0,44
09/01/2002;0,20;0,42
10/01/2002;0,16;0,41
11/01/2002;0,20;0,41
12/01/2002;0,23;0,41
13/01/2002;0,24;0,39
14/01/2002;0,27;0,40
15/01/2002;0,25;0,51
16/01/2002;0,53;0,43
17/01/2002;0,35;0,40
18/01/2002;0,24;0,47
19/01/2002;0,33;0,46
20/01/2002;0,36;0,42
21/01/2002;0,26;0,42
22/01/2002;0,25;0,43
23/01/2002;0,28;0,43
24/01/2002;0,26;0,42
25/01/2002;0,23;0,44
26/01/2002;0,37;0,48
27/01/2002;0,42;0,62
28/01/2002;0,86;0,50
29/01/2002;0,47;0,49
30/01/2002;0,46;0,49
31/01/2002;0,43;0,49
01/02/2002;0,46;0,49
02/02/2002;0,51;0,47
03/02/2002;0,46;0,56
04/02/2002;0,74;0,73
05/02/2002;1,13;1,56
06/02/2002;1,77;0,73
07/02/2002;0,81;0,69
08/02/2002;0,72;0,69
09/02/2002;0,81;0,69
10/02/2002;0,84;0,69
11/02/2002;0,84;0,67
12/02/2002;0,84;0,66
13/02/2002;0,84;0,72
14/02/2002;0,84;0,77
15/02/2002;0,89;0,79
16/02/2002;0,95;0,79
17/02/2002;0,95;0,79
18/02/2002;0,95;0,79
19/02/2002;0,95;0,79
20/02/2002;0,95;1,06
21/02/2002;1,77;0,86
22/02/2002;1,35;0,86
23/02/2002;1,35;0,84
24/02/2002;1,29;0,84
25/02/2002;1,25;0,84
26/02/2002;1,25;0,88
27/02/2002;1,15;0,91
28/02/2002;1,12;0,93
01/03/2002;1,24;0,92
02/03/2002;1,25;0,91
03/03/2002;1,16;0,89
04/03/2002;1,12;0,88
05/03/2002;1,11;0,87
06/03/2002;1,12;0,84
07/03/2002;1,04;0,81
08/03/2002;0,91;0,79
09/03/2002;1,03;0,79
10/03/2002;1,10;0,79
11/03/2002;1,09;0,79
12/03/2002;1,08;0,79
13/03/2002;1,09;0,60
14/03/2002;1,13;0,49
15/03/2002;1,32;0,50
16/03/2002;1,28;0,47
17/03/2002;1,20;0,46
18/03/2002;1,18;0,85
19/03/2002;2,34;0,66
20/03/2002;2,08;0,67
21/03/2002;1,38;0,86
22/03/2002;1,18;0,86
23/03/2002;1,18;0,85
24/03/2002;1,16;0,81
25/03/2002;1,16;0,79
26/03/2002;1,13;0,78
27/03/2002;1,02;0,75
28/03/2002;0,94;0,73
29/03/2002;0,83;0,73
30/03/2002;0,77;0,72
31/03/2002;0,77;0,72
01/04/2002;0,76;0,69
02/04/2002;0,75;0,69
03/04/2002;0,74;0,69
04/04/2002;0,64;0,68
05/04/2002;0,54;0,68
06/04/2002;0,52;0,68
07/04/2002;0,51;0,67
08/04/2002;0,49;0,67
09/04/2002;0,53;0,67
10/04/2002;0,60;0,66
11/04/2002;0,57;0,66
12/04/2002;0,54;0,66
13/04/2002;0,54;0,65
14/04/2002;0,54;0,64
15/04/2002;0,53;0,63
16/04/2002;0,49;0,63
17/04/2002;0,46;0,63
18/04/2002;0,46;0,63
19/04/2002;0,36;0,63
20/04/2002;0,35;0,63
21/04/2002;0,34;0,63
22/04/2002;0,34;0,62
23/04/2002;0,33;0,62
24/04/2002;0,26;0,60
25/04/2002;0,22;0,60
26/04/2002;0,03;0,60
27/04/2002;0,00;0,60
28/04/2002;0,00;0,58
29/04/2002;0,01;0,57
30/04/2002;0,03;0,59
01/05/2002;0,64;0,60
02/05/2002;0,76;0,57
03/05/2002;0,57;0,54
04/05/2002;0,39;0,54
05/05/2002;0,38;0,54
06/05/2002;0,38;0,54
07/05/2002;0,37;0,53
08/05/2002;0,34;0,52
09/05/2002;0,22;0,52
10/05/2002;0,24;0,52
11/05/2002;0,22;0,52
12/05/2002;0,17;0,52
13/05/2002;0,23;0,52
14/05/2002;0,35;0,51
15/05/2002;0,31;0,49
16/05/2002;0,23;0,48
17/05/2002;0,21;0,79
18/05/2002;0,49;0,55
19/05/2002;0,29;0,53
20/05/2002;0,23;0,52
21/05/2002;0,02;0,68
22/05/2002;0,00;0,54
23/05/2002;0,00;0,52
24/05/2002;0,00;0,93
25/05/2002;0,00;0,56
26/05/2002;0,00;0,54
27/05/2002;0,00;0,80
28/05/2002;0,00;0,72
29/05/2002;0,00;0,54
30/05/2002;0,13;0,50
31/05/2002;0,21;0,49
01/06/2002;0,18;0,49
02/06/2002;0,18;0,49
03/06/2002;0,20;0,49
04/06/2002;0,19;1,32
05/06/2002;0,26;0,70
06/06/2002;0,00;0,64
07/06/2002;0,00;0,71
08/06/2002;0,98;1,01
09/06/2002;0,63;0,91
10/06/2002;0,72;0,81
11/06/2002;0,50;0,71
12/06/2002;0,66;0,63
13/06/2002;0,68;0,63
14/06/2002;0,52;0,62
15/06/2002;0,52;0,61
16/06/2002;0,52;0,61
17/06/2002;0,52;0,60
18/06/2002;0,52;0,60
19/06/2002;0,47;0,60
20/06/2002;0,46;0,60
21/06/2002;0,46;0,61
22/06/2002;0,43;0,63
23/06/2002;0,39;0,63
24/06/2002;0,39;0,63
25/06/2002;0,38;0,63
26/06/2002;0,37;0,62
27/06/2002;0,36;0,63
28/06/2002;0,34;0,62
29/06/2002;0,24;0,61
30/06/2002;0,00;0,62
01/07/2002;0,00;0,61
02/07/2002;0,00;0,61
03/07/2002;0,00;0,62
04/07/2002;0,00;0,60
05/07/2002;0,00;0,63
06/07/2002;0,00;0,62
07/07/2002;0,00;0,60
08/07/2002;0,00;0,61
09/07/2002;0,00;0,79
10/07/2002;0,01;0,61
11/07/2002;0,19;0,59
12/07/2002;0,31;0,59
13/07/2002;0,30;0,57
14/07/2002;0,29;0,56
15/07/2002;0,27;0,55
16/07/2002;0,33;0,55
17/07/2002;0,46;0,55
18/07/2002;0,31;0,54
19/07/2002;0,24;0,54
20/07/2002;0,25;0,53
21/07/2002;0,21;0,53
22/07/2002;0,19;0,53
23/07/2002;0,18;0,53
24/07/2002;0,22;0,52
25/07/2002;0,18;0,52
26/07/2002;0,17;0,50
27/07/2002;0,16;0,50
28/07/2002;0,15;0,50
29/07/2002;0,15;0,50
30/07/2002;0,14;0,49
31/07/2002;0,14;0,48
01/08/2002;0,14;3,43
02/08/2002;5,58;0,66
03/08/2002;5,13;0,61
04/08/2002;3,16;0,59
05/08/2002;0,00;0,58
06/08/2002;0,00;0,56
07/08/2002;0,00;0,53
08/08/2002;0,00;0,64
09/08/2002;0,00;0,59
10/08/2002;0,00;0,52
11/08/2002;0,00;0,52
12/08/2002;0,00;0,54
13/08/2002;0,00;0,53
14/08/2002;0,00;0,53
15/08/2002;0,00;0,52
16/08/2002;0,00;0,52
17/08/2002;0,00;0,52
18/08/2002;0,00;0,52
19/08/2002;0,00;0,52
20/08/2002;0,00;0,52
21/08/2002;0,00;0,50
22/08/2002;0,00;0,44
23/08/2002;0,10;0,48
24/08/2002;0,30;0,45
25/08/2002;0,25;0,44
26/08/2002;0,21;0,44
27/08/2002;0,22;0,44
28/08/2002;0,20;0,42
29/08/2002;0,19;0,42
30/08/2002;0,19;0,42
31/08/2002;0,17;0,42
01/09/2002;0,17;0,42
02/09/2002;0,16;0,41
03/09/2002;0,17;0,40
04/09/2002;0,16;0,37
05/09/2002;0,13;0,36
06/09/2002;0,11;0,35
07/09/2002;0,11;0,36
08/09/2002;0,13;0,35
09/09/2002;0,12;0,35
10/09/2002;0,12;0,35
11/09/2002;0,09;0,33
12/09/2002;0,08;0,34
13/09/2002;0,07;0,33
14/09/2002;0,08;0,33
15/09/2002;0,08;0,33
16/09/2002;0,20;0,33
17/09/2002;0,15;0,32
18/09/2002;0,10;0,32
19/09/2002;0,06;0,30
20/09/2002;0,05;0,31
21/09/2002;0,09;0,30
22/09/2002;0,12;0,29
23/09/2002;0,11;0,29
24/09/2002;0,09;0,39
25/09/2002;0,11;0,56
26/09/2002;0,13;0,49
27/09/2002;0,11;0,43
28/09/2002;0,11;0,29
29/09/2002;0,11;0,28
30/09/2002;0,11;0,28
01/10/2002;0,12;0,31
02/10/2002;0,19;0,28
03/10/2002;0,07;0,27
04/10/2002;0,04;0,27
05/10/2002;0,04;0,27
06/10/2002;0,04;0,27
07/10/2002;0,04;0,27
08/10/2002;0,04;0,28
09/10/2002;0,06;0,46
10/10/2002;0,37;0,30
11/10/2002;0,15;0,29
12/10/2002;0,11;0,28
13/10/2002;0,09;0,45
14/10/2002;0,41;0,34
15/10/2002;0,23;0,43
16/10/2002;0,33;0,55
17/10/2002;0,23;0,34
18/10/2002;0,15;0,33
19/10/2002;0,15;0,32
20/10/2002;0,15;0,31
21/10/2002;0,15;0,32
22/10/2002;0,14;0,57
23/10/2002;0,13;0,37
24/10/2002;0,07;1,83
25/10/2002;1,31;0,72
26/10/2002;0,95;0,50
27/10/2002;0,60;0,59
28/10/2002;0,54;0,66
29/10/2002;0,43;0,56
30/10/2002;0,34;0,46
31/10/2002;0,20;0,46
01/11/2002;0,19;0,50
