;Catchment 1: Weetbach, Germany;;Catchment 2: Allt Coarie Na Con, Scotland;;;;;;;;;;;;
Date;Precipitation;EP;Precipitation;EP;;;;;;;;;;;
;[mm/d];[mm/d];[mm/d];[mm/d];;;;;;;;;;;
01/07/2009;0,00;4,53;5,80;3,03;;;;;;;;;;;
02/07/2009;0,00;5,52;2,00;2,23;;;;;;;;;;;
03/07/2009;14,85;2,56;2,05;2,67;;;;;;;;;;;
04/07/2009;0,00;4,36;1,00;3,27;;;;;;;;;;;
05/07/2009;0,00;2,86;3,71;3,09;;;;;;;;;;;
06/07/2009;0,00;3,33;5,46;3,03;;;;;;;;;;;
07/07/2009;3,48;2,71;0,98;2,24;;;;;;;;;;;
08/07/2009;21,00;1,54;1,00;2,69;;;;;;;;;;;
09/07/2009;1,35;2,90;1,00;3,57;;;;;;;;;;;
10/07/2009;5,04;1,90;2,00;4,28;;;;;;;;;;;
11/07/2009;1,68;1,81;2,10;4,37;;;;;;;;;;;
12/07/2009;4,52;2,55;5,46;3,47;;;;;;;;;;;
13/07/2009;0,00;4,38;1,76;3,54;;;;;;;;;;;
14/07/2009;0,00;3,86;1,12;3,88;;;;;;;;;;;
15/07/2009;0,00;4,89;7,76;3,01;;;;;;;;;;;
16/07/2009;0,00;4,79;0,88;2,37;;;;;;;;;;;
17/07/2009;0,00;3,44;0,00;2,37;;;;;;;;;;;
18/07/2009;2,64;2,12;1,00;2,81;;;;;;;;;;;
19/07/2009;6,48;2,29;0,00;3,57;;;;;;;;;;;
20/07/2009;3,27;3,20;1,00;3,64;;;;;;;;;;;
21/07/2009;9,26;4,69;2,00;3,97;;;;;;;;;;;
22/07/2009;18,43;3,66;0,73;4,00;;;;;;;;;;;
23/07/2009;32,00;2,02;4,73;4,20;;;;;;;;;;;
24/07/2009;18,13;3,30;0,78;2,91;;;;;;;;;;;
25/07/2009;6,69;2,45;0,00;2,75;;;;;;;;;;;
26/07/2009;0,20;3,97;4,88;2,96;;;;;;;;;;;
27/07/2009;0,00;4,03;5,51;2,87;;;;;;;;;;;
28/07/2009;0,00;4,04;0,78;2,66;;;;;;;;;;;
29/07/2009;13,63;4,41;6,98;2,90;;;;;;;;;;;
30/07/2009;0,00;3,44;6,59;2,60;;;;;;;;;;;
31/07/2009;0,00;3,41;5,61;1,91;;;;;;;;;;;
01/08/2009;0,00;4,47;0,44;2,07;;;;;;;;;;;
02/08/2009;0,00;1,29;1,00;2,44;;;;;;;;;;;
03/08/2009;1,46;2,18;1,00;2,40;;;;;;;;;;;
04/08/2009;0,00;4,17;2,00;3,55;;;;;;;;;;;
05/08/2009;0,00;5,20;2,00;4,07;;;;;;;;;;;
06/08/2009;0,00;5,24;2,00;3,79;;;;;;;;;;;
07/08/2009;4,73;3,77;0,00;3,78;;;;;;;;;;;
08/08/2009;0,00;0,99;3,95;4,12;;;;;;;;;;;
09/08/2009;0,00;2,35;1,32;3,51;;;;;;;;;;;
10/08/2009;0,00;3,51;0,00;2,66;;;;;;;;;;;
11/08/2009;3,48;1,98;1,00;3,36;;;;;;;;;;;
12/08/2009;0,00;2,85;2,00;3,23;;;;;;;;;;;
13/08/2009;0,00;1,78;0,83;4,21;;;;;;;;;;;
14/08/2009;0,00;2,23;6,83;3,11;;;;;;;;;;;
15/08/2009;0,00;4,89;1,71;3,26;;;;;;;;;;;
16/08/2009;0,00;5,03;3,37;2,36;;;;;;;;;;;
17/08/2009;0,00;3,24;0,10;3,13;;;;;;;;;;;
18/08/2009;0,00;4,11;1,00;3,31;;;;;;;;;;;
19/08/2009;0,00;5,25;1,00;3,42;;;;;;;;;;;
20/08/2009;0,00;5,13;10,24;3,63;;;;;;;;;;;
21/08/2009;1,25;2,51;0,59;2,60;;;;;;;;;;;
22/08/2009;0,00;3,41;3,12;2,53;;;;;;;;;;;
23/08/2009;0,00;4,44;1,90;2,31;;;;;;;;;;;
24/08/2009;0,00;4,69;1,00;2,34;;;;;;;;;;;
25/08/2009;20,66;1,59;2,10;2,66;;;;;;;;;;;
26/08/2009;0,00;3,60;2,00;2,90;;;;;;;;;;;
27/08/2009;0,00;3,97;1,17;2,73;;;;;;;;;;;
28/08/2009;0,46;2,55;0,24;2,33;;;;;;;;;;;
29/08/2009;0,00;2,31;6,39;2,74;;;;;;;;;;;
30/08/2009;0,00;2,95;3,80;2,12;;;;;;;;;;;
31/08/2009;0,00;4,46;1,41;2,32;;;;;;;;;;;
01/09/2009;0,00;1,99;2,05;1,72;;;;;;;;;;;
02/09/2009;0,00;2,12;10,39;2,26;;;;;;;;;;;
03/09/2009;12,32;1,81;9,61;1,91;;;;;;;;;;;
04/09/2009;7,92;1,10;5,80;2,74;;;;;;;;;;;
05/09/2009;1,68;1,56;10,88;1,91;;;;;;;;;;;
06/09/2009;0,00;1,42;13,17;2,01;;;;;;;;;;;
07/09/2009;0,00;3,16;8,24;1,27;;;;;;;;;;;
08/09/2009;0,00;4,17;0,20;1,38;;;;;;;;;;;
09/09/2009;0,20;3,52;1,00;1,59;;;;;;;;;;;
10/09/2009;0,91;0,43;0,10;1,95;;;;;;;;;;;
11/09/2009;0,00;1,98;5,27;1,73;;;;;;;;;;;
12/09/2009;0,00;1,67;7,71;2,05;;;;;;;;;;;
13/09/2009;1,68;0,76;8,88;1,61;;;;;;;;;;;
14/09/2009;12,53;0,67;2,51;1,56;;;;;;;;;;;
15/09/2009;0,20;1,08;3,12;1,50;;;;;;;;;;;
16/09/2009;0,00;0,40;8,78;1,83;;;;;;;;;;;
17/09/2009;0,00;0,97;0,00;1,58;;;;;;;;;;;
18/09/2009;0,00;1,92;1,00;1,73;;;;;;;;;;;
19/09/2009;8,13;1,48;1,00;2,22;;;;;;;;;;;
20/09/2009;0,00;2,13;1,00;1,70;;;;;;;;;;;
21/09/2009;0,00;1,84;1,00;1,24;;;;;;;;;;;
22/09/2009;0,00;2,80;1,00;1,47;;;;;;;;;;;
23/09/2009;0,00;1,58;1,00;2,49;;;;;;;;;;;
24/09/2009;1,57;0,52;0,00;2,05;;;;;;;;;;;
25/09/2009;0,00;1,88;1,00;1,62;;;;;;;;;;;
26/09/2009;0,00;2,18;2,00;1,74;;;;;;;;;;;
27/09/2009;0,00;2,31;1,00;1,32;;;;;;;;;;;
28/09/2009;0,00;1,98;5,66;1,03;;;;;;;;;;;
29/09/2009;0,00;1,02;0,00;1,27;;;;;;;;;;;
30/09/2009;0,00;0,93;0,68;1,49;;;;;;;;;;;
01/10/2009;0,00;0,70;0,15;1,18;;;;;;;;;;;
02/10/2009;0,00;0,90;1,90;1,13;;;;;;;;;;;
03/10/2009;0,29;0,93;4,10;1,08;;;;;;;;;;;
04/10/2009;9,11;0,67;5,22;0,97;;;;;;;;;;;
05/10/2009;12,29;0,54;3,71;0,99;;;;;;;;;;;
06/10/2009;13,11;0,70;0,93;0,97;;;;;;;;;;;
07/10/2009;20,00;1,51;7,56;1,25;;;;;;;;;;;
08/10/2009;2,16;1,15;2,73;1,26;;;;;;;;;;;
09/10/2009;2,05;1,34;5,02;0,96;;;;;;;;;;;
10/10/2009;13,72;0,77;0,54;1,38;;;;;;;;;;;
11/10/2009;17,24;0,67;1,00;1,52;;;;;;;;;;;
12/10/2009;16,23;0,96;2,05;1,37;;;;;;;;;;;
13/10/2009;0,00;1,06;0,93;1,20;;;;;;;;;;;
14/10/2009;0,00;0,85;10,10;1,15;;;;;;;;;;;
15/10/2009;0,00;1,19;4,88;0,56;;;;;;;;;;;
16/10/2009;24,00;0,44;5,22;0,83;;;;;;;;;;;
17/10/2009;3,63;0,68;0,59;0,70;;;;;;;;;;;
18/10/2009;0,00;0,88;0,00;0,56;;;;;;;;;;;
19/10/2009;0,00;1,34;2,00;0,97;;;;;;;;;;;
20/10/2009;0,00;1,35;1,00;1,92;;;;;;;;;;;
21/10/2009;0,00;2,04;1,00;0,58;;;;;;;;;;;
22/10/2009;0,41;0,53;1,00;0,66;;;;;;;;;;;
23/10/2009;0,00;0,60;0,00;1,02;;;;;;;;;;;
24/10/2009;4,26;0,54;0,00;0,78;;;;;;;;;;;
25/10/2009;0,00;0,79;0,24;0,53;;;;;;;;;;;
26/10/2009;0,29;0,64;0,20;0,61;;;;;;;;;;;
27/10/2009;0,00;0,64;0,00;0,83;;;;;;;;;;;
28/10/2009;0,00;1,15;0,00;0,79;;;;;;;;;;;
29/10/2009;0,00;0,44;2,44;1,66;;;;;;;;;;;
30/10/2009;0,00;0,93;0,24;0,89;;;;;;;;;;;
31/10/2009;0,00;1,02;4,24;0,45;;;;;;;;;;;
01/11/2009;28,00;0,38;4,34;0,76;;;;;;;;;;;
02/11/2009;24,00;0,52;0,00;0,98;;;;;;;;;;;
03/11/2009;12,90;0,42;0,00;0,70;;;;;;;;;;;
04/11/2009;5,40;0,36;0,05;0,30;;;;;;;;;;;
05/11/2009;5,40;0,27;0,83;0,30;;;;;;;;;;;
06/11/2009;0,41;0,44;3,12;0,33;;;;;;;;;;;
07/11/2009;6,43;0,39;0,15;0,36;;;;;;;;;;;
08/11/2009;0,29;0,50;0,00;0,22;;;;;;;;;;;
09/11/2009;2,58;0,08;0,63;0,92;;;;;;;;;;;
10/11/2009;1,51;0,25;1,51;0,52;;;;;;;;;;;
11/11/2009;0,17;0,25;5,41;0,30;;;;;;;;;;;
12/11/2009;2,37;0,23;2,93;0,50;;;;;;;;;;;
13/11/2009;0,00;0,70;5,22;0,75;;;;;;;;;;;
14/11/2009;0,75;0,91;4,88;0,99;;;;;;;;;;;
15/11/2009;13,00;0,49;2,44;1,20;;;;;;;;;;;
16/11/2009;2,05;0,34;23,56;0,85;;;;;;;;;;;
17/11/2009;8,70;0,40;20,24;0,99;;;;;;;;;;;
18/11/2009;0,00;0,76;14,00;0,93;;;;;;;;;;;
19/11/2009;0,00;1,00;4,98;0,97;;;;;;;;;;;
20/11/2009;0,00;1,13;7,07;0,86;;;;;;;;;;;
21/11/2009;1,41;0,43;0,10;1,03;;;;;;;;;;;
22/11/2009;7,00;0,89;1,00;1,00;;;;;;;;;;;
23/11/2009;41,24;0,48;1,32;1,06;;;;;;;;;;;
24/11/2009;10,55;0,46;1,85;0,94;;;;;;;;;;;
25/11/2009;5,61;0,68;0,00;1,01;;;;;;;;;;;
26/11/2009;3,63;0,57;1,00;1,06;;;;;;;;;;;
27/11/2009;12,80;0,43;0,05;0,57;;;;;;;;;;;
28/11/2009;18,31;0,41;0,05;0,30;;;;;;;;;;;
