Weetbach, Germany, pre-deforestation;;;;Weetbach, Germany, post-deforestation;;;
Date;P;EP;Q;Date;P;EP;Q
;[mm/d];[mm/d];[mm/d];;[mm/d];[mm/d];[mm/d]
01/07/2009;0,00;4,53;0,57;01/01/2014;1,19;0,57;5,14
02/07/2009;0,00;5,52;0,51;02/01/2014;8,08;0,40;5,38
03/07/2009;14,85;0,06;0,58;03/01/2014;4,98;0,59;4,83
04/07/2009;0,00;4,36;0,54;04/01/2014;0,52;0,43;4,57
05/07/2009;0,00;2,86;0,49;05/01/2014;3,63;0,46;4,67
06/07/2009;0,00;3,33;0,50;06/01/2014;18,92;0,41;4,83
07/07/2009;3,48;0,21;0,53;07/01/2014;3,63;0,79;5,56
08/07/2009;21,00;0,00;0,87;08/01/2014;4,88;0,59;5,45
09/07/2009;1,35;0,59;0,97;09/01/2014;5,61;0,51;5,54
10/07/2009;5,04;0,00;0,73;10/01/2014;0,29;0,42;5,35
11/07/2009;1,68;0,00;0,66;11/01/2014;2,16;0,34;5,13
12/07/2009;4,52;0,05;0,65;12/01/2014;0,00;0,81;4,84
13/07/2009;0,00;4,38;0,58;13/01/2014;0,41;0,37;4,71
14/07/2009;0,00;3,86;0,58;14/01/2014;1,84;0,36;4,56
15/07/2009;0,00;4,89;0,69;15/01/2014;4,98;0,22;4,47
16/07/2009;0,00;4,79;0,52;16/01/2014;1,30;0,27;4,37
17/07/2009;0,00;3,44;0,53;17/01/2014;0,41;0,57;4,12
18/07/2009;2,64;0,00;0,49;18/01/2014;0,00;0,88;3,87
19/07/2009;6,48;0,00;0,52;19/01/2014;0,00;0,65;3,68
20/07/2009;3,27;0,70;0,50;20/01/2014;3,84;0,12;3,61
21/07/2009;9,26;2,19;0,44;21/01/2014;2,26;0,12;3,72
22/07/2009;18,43;1,16;0,90;22/01/2014;0,00;0,32;3,52
23/07/2009;32,00;0,00;0,73;23/01/2014;6,85;0,14;3,32
24/07/2009;18,13;0,80;0,91;24/01/2014;0,17;0,22;3,25
25/07/2009;6,69;0,00;0,91;25/01/2014;5,29;0,36;3,06
